;scores;question;ID;panel;rank;position;top5
Q035;2257;How does meiofaunal biodiversity contribute to ecosystem function, integrity, and sustainability in the context of anthropogenic activities and global change? (Q035);Q035;Climate;Q50;1;climate1
Q032;2210;Is meiofauna taxonomical and functional diversity important in assessing anthropogenic impacts and global change on ecosystems? (Q032);Q032;Climate;Q50;2;climate2
Q019;2209;Are meiofauna good indicators of ecosystem quality status and functioning or do they need support from additional sources of evidence? (Q019);Q019;Climate;Q50;3;climate3
Q192;2193;How can we promote the interest for meiofauna amongst students and young researchers thereby ensuring the future of the field? (Q192);Q192;Communication;Q50;4;Comm1
Q026;2189;Can meiofauna be used to understand better how pollution impacts ecosystems as a whole? (Q026);Q026;Climate;Q50;5;climate4
Q023;2187;How do meiofauna contribute to ecosystem resilience, particularly after a disturbance? (Q023);Q027;Climate;Q50;6;climate5
Q013;2177;What are the most damaging impacts for meiofauna (for example extraction of resources, modification of habitat, creation of man-made structures, pollution, warming, ocean acidification, deoxygenation, etc.)? (Q013);Q013;Climate;Q50;7;climate6
Q087;2162;Can sampling protocols be standardized to gather comparable distribution and ecological data worldwide? (Q087);Q087;Macro;Q50;8;Macro1
Q102;2160;How and how much do meiofauna influence  nutrient cycling in different ecosystems? (Q102);Q102;Biogeom;Q50;9;Biogeom1
Q005;2157;What are the main effects on meiofauna caused by anthropogenic pollution? (Q005);Q005;Climate;Q50;10;climate7
Q022;2154;Are meiofaunal organisms a good tool in evaluating the success of habitat restoration projects in different ecosystems, for example, by assessing ecosystem function and health? (Q022);Q022;Climate;Q50;11;climate8
Q046;2151;How can we efficiently and reliably estimate and measure meiofaunal species diversity? (Q046);Q046;Systematics;Q50;12;Systematics1
Q088;2148;What are the main knowledge gaps in meiofaunal diversity? (Q088);Q088;Macro;Q50;13;Macro2
Q029;2131;What are the roles of meiofauna in the natural restoration process that follow anthropogenic impacts? (Q029);Q029;Climate;Q50;14;climate9
Q018;2130;Are meiofaunal species effective indicators for conventional pollutants and emerging contaminants (pharmaceuticals, pesticides, personal care products)? (Q018);Q018;Climate;Q50;15;climate10
Q086;2126;Which are the main barriers for meiofaunal species dispersion/colonization? (Q086);Q086;Macro;Q50;16;Macro3
Q028;2124;Are meiofauna more or less resilient compared to other benthic components in an ecosystem when under pressure of anthropogenic impacts and global change? (Q028);Q028;Climate;Q50;17;climate11
Q001;2120;What are the main effects on meiofauna caused by climate change? (Q001);Q001;Climate;Q50;18;climate12
Q187;2119;How can we further promote and/or sustain  the use of meiofauna as a tool or requirement in standard protocols for assessing and monitoring the quality status of ecosystems? (Q187);Q187;Communication;Q50;19;Comm2
Q160;2110;How does connectivity among different habitats affect meiofaunal diversity patterns across different spatial scales? (Q160);Q160;Pop;Q50;20;Pop1
Q042;2108;How species-rich are meiofauna on a regional and global scale? (Q042);Q042;Systematics;Q50;21;Systematics2
Q044;2106;How can we strengthen collaboration to speed up the production of a joined global inventory of meiofaunal species in times of biodiversity crisis and global change? (Q044);Q044;Communication;Q50;22;Comm3
Q030;2098;Do meiofauna in different habitats respond differently to similar anthropogenic impacts or global change? (Q030);Q030;Climate;Q50;23;climate13
Q077;2093;What drives patterns of meiofaunal diversity over large-scale gradients? (Q077);Q077;Macro;Q50;24;Macro4
Q016;2092;Are there suitable early warning meiofaunal organisms, i.e. organisms useful to detect early stages of anthropogenic activities and global change? (Q016);Q016;Climate;Q50;25;climate14
Q036;2090;What functional traits or adaptations make meiofauna resistant against the impacts of anthropogenic activities and global change? (Q036);Q036;Climate;Q50;26;climate15
Q093;2086;What do we know about the contribution of meiofauna to global carbon cycling and sequestration? (Q093);Q093;Biogeom;Q50;27;Biogeom2
Q116;2084;What are the most critical roles of meiofauna in biogeochemical cycling and how do they differ between different ecosystems? (Q116);Q116;Biogeom;Q50;28;Biogeom3
